#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Robot (1985);Robot (1985);Visual Pinball;;;;;;;;;;;;;;;;;;
Rock (1985);Rock (1985);Visual Pinball;;;;;;;;;;;;;;;;;;
Rocky & Bullwinkle And Friends (1993);Rocky & Bullwinkle And Friends (1993);Visual Pinball;;;;;;;;;;;;;;;;;;
RollerGames (1990);RollerGames (1990);Visual Pinball;;;;;1;;;;;;;RollerGames;;;;;;
Rollercoaster Tycoon (2002);Rollercoaster Tycoon (2002);Visual Pinball;;;;;1;;;;;;;RollerCoaster Tycoon;;;;;;
Rolling Stones (1979);Rolling Stones (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Roman Victory (1977);Roman Victory (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Safe Cracker (1996);Safe Cracker (1996);Visual Pinball;;;;;1;;;;;;;Safecracker;;;;;;
Scared Stiff (1996);Scared Stiff (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Seawitch (1980);Seawitch (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Serious Sam Pinball (2017);Serious Sam Pinball (2017);Visual Pinball;;;;;;;;;;;;;;;;;;
The Shadow (1994);The Shadow (1994);Visual Pinball;;;;;1;;;;;;;The Shadow;;;;;;
Shark (1982);Shark (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Sharpshooter  (1979);Sharpshooter  (1979);Visual Pinball;;;;;2;;;;;;;Sharpshooter;;;;;;
Sheriff (1971);Sheriff (1971);Visual Pinball;;;;;2;;;;;;;Sheriff;;;;;;
Shock (1998);Shock (1998);Visual Pinball;;;;;;;;;;;;;;;;;;
Shrek (2008);Shrek (2008);Visual Pinball;;;;;1;;;;;;;Shrek;;;;;;
Simpsons Pinball Party, The (2003);Simpsons Pinball Party, The (2003);Visual Pinball;;;;;;;;;;;;;;;;;;
Sinbad (1978);Sinbad (1978);Visual Pinball;;;;;;;;;;;;Sinbad;;;;;;
Skateball (1980);Skateball (1980);Visual Pinball;;;;;2;;;;;;;Skateball;;;;;;
Smurfette (1971);Smurfette (1971);Visual Pinball;;;;;;;;;;;;;;;;;;
Snake Machine (1982);Snake Machine (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Solar Ride (1979);Solar Ride (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Sorcerer (1985);Sorcerer (1985);Visual Pinball;;;;;2;;;;;;;Sorcerer;;;;;;
South Park (1999);South Park (1999);Visual Pinball;;;;;4;;;;;;;South Park;;;;;;
Space Invaders (1979);Space Invaders (1979);Visual Pinball;;;;;2;;;;;;;Space Invaders;;;;;;
Space Patrol ( 1978);Space Patrol ( 1978);Visual Pinball;;;;;1;;;;;;;Space Patrol;;;;;;
Space Shuttle (1982);Space Shuttle (1982);Visual Pinball;;;;;1;;;;;;;Space Shuttle;;;;;;
Space Station (1987);Space Station (1987);Visual Pinball;;;;;;;;;;;;;;;;;;
Spectrum (1981);Spectrum (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Speed Test (1982);Speed Test (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
SpiderMan (2007);SpiderMan (2007);Visual Pinball;;;;;1;;;;;;;Spider-Man;;;;;;
Spin Out (1975);Spin Out (1975);Visual Pinball;;;;;;;;;;;;Spinout;;;;;;
Spirit (1982);Spirit (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Spy Hunter (1984);Spy Hunter (1984);Visual Pinball;;;;;1;;;;;;;Spy Hunter;;;;;;
Star Trek (1979);Star Trek (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Star Trek (2003);Star Trek (2003);Visual Pinball;;;;;;;;;;;;;;;;;;
Star Trek - The Next Generation (1993);Star Trek - The Next Generation (1993);Visual Pinball;;;;;1;;;;;;;Star Trek: The Next Generation;;;;;;
Star Trek 25th Anniversary (1991);Star Trek 25th Anniversary (1991);Visual Pinball;;;;;1;;;;;;;Star Trek: 25th Anniversary;;;;;;
