#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Driver - Parallel Lines (EU);Driver - Parallel Lines (EU);Nintendo Wii;;;;;;;;;;;;Driver: Parallel Lines;;;;;;
Driver - San Francisco (EU);Driver - San Francisco (EU);Nintendo Wii;;;;;1;;;;;;;Driver: San Francisco;;;;;;
EA Playground (EU);EA Playground (EU);Nintendo Wii;;;;;4;;;;;;;EA Playground;;;;;;
EA Sports - NHL Slapshot (EU);EA Sports - NHL Slapshot (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Eldar Saga (EU);Eldar Saga (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Emergency Heroes (EU);Emergency Heroes (EU);Nintendo Wii;;;;;2;;;;;;;Emergency Heroes;;;;;;
Emergency Mayhem (EU);Emergency Mayhem (EU);Nintendo Wii;;;;;;;;;;;;Emergency Mayhem;;;;;;
Enclave - Shadows of Twilight (EU);Enclave - Shadows of Twilight (EU);Nintendo Wii;;;;;1;;;;;;;Enclave: Shadows of Twilight;;;;;;
Escape From Bug Island (EU);Escape From Bug Island (EU);Nintendo Wii;;;;;;;;;;;;Escape from Bug Island;;;;;;
Escape The Museum (EU);Escape The Museum (EU);Nintendo Wii;;;;;1;;;;;;;Escape The Museum;;;;;;
Excite Truck (EU);Excite Truck (EU);Nintendo Wii;;;;;2;;;;;;;Excite Truck;;;;;;
F1 2009 (EU);F1 2009 (EU);Nintendo Wii;;;;;;;;;;;;F1 2009;;;;;;
FIFA 14 - Legacy Edition (EU);FIFA 14 - Legacy Edition (EU);Nintendo Wii;;;;;;;;;;;;FIFA 14: Legacy Edition;;;;;;
FIFA 15 - Legacy Edition (EU);FIFA 15 - Legacy Edition (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
FaceBreaker - K.O. Party (EU);FaceBreaker - K.O. Party (EU);Nintendo Wii;;;;;2;;;;;;;FaceBreaker K.O. Party;;;;;;
Family Fortunes (EU);Family Fortunes (EU);Nintendo Wii;;;;;2;;;;;;;Family Fortunes;;;;;;
Family GameShow (EU);Family GameShow (EU);Nintendo Wii;;;;;4;;;;;;;Family Gameshow;;;;;;
Family Party - 30 Great Games (EU);Family Party - 30 Great Games (EU);Nintendo Wii;;;;;4;;;;;;;Family Party: 30 Great Games;;;;;;
Family Party - 30 Great Games Outdoor Fun (EU);Family Party - 30 Great Games Outdoor Fun (EU);Nintendo Wii;;;;;4;;;;;;;Family Party: 30 Great Games Outdoor Fun;;;;;;
Family Party - 30 Great Games Winter Fun (EU);Family Party - 30 Great Games Winter Fun (EU);Nintendo Wii;;;;;4;;;;;;;Family Party: 30 Great Games Winter Fun;;;;;;
Family Party - 90 Great Games Party Pack (EU);Family Party - 90 Great Games Party Pack (EU);Nintendo Wii;;;;;1;;;;;;;Family Party: 90 Great Games Party Pack;;;;;;
Family Party - Fitness Fun (EU);Family Party - Fitness Fun (EU);Nintendo Wii;;;;;1;;;;;;;Family Party: Fitness Fun;;;;;;
Family Ski (EU);Family Ski (EU);Nintendo Wii;;;;;2;;;;;;;Family Ski;;;;;;
Family Ski and Snowboard (EU);Family Ski and Snowboard (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Fantastic Football Fan Party (EU);Fantastic Football Fan Party (EU);Nintendo Wii;;;;;4;;;;;;;Fantastic Football Fan Party ;;;;;;
Fantastic Four - Rise of the Silver Surfer (EU);Fantastic Four - Rise of the Silver Surfer (EU);Nintendo Wii;;;;;;;;;;;;Fantastic Four: Rise of the Silver Surfer;;;;;;
Ferrari Challenge (EU);Ferrari Challenge (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Ferrari The Race Experience (EU);Ferrari The Race Experience (EU);Nintendo Wii;;;;;;;;;;;;Ferrari: The Race Experience;;;;;;
Final Fantasy Crystal Chronicles - Echoes of Time (EU);Final Fantasy Crystal Chronicles - Echoes of Time (EU);Nintendo Wii;;;;;4;;;;;;;Final Fantasy Crystal Chronicles: Echoes of Time;;;;;;
Final Fantasy Crystal Chronicles - The Crystal Bearers (EU);Final Fantasy Crystal Chronicles - The Crystal Bearers (EU);Nintendo Wii;;;;;1;;;;;;;Final Fantasy Crystal Chronicles: The Crystal Bearers;;;;;;
Final Fantasy Fables - Chocobos Dungeon (EU);Final Fantasy Fables - Chocobos Dungeon (EU);Nintendo Wii;;;;;1;;;;;;;Final Fantasy Fables: Chocobo's Dungeon;;;;;;
Fire Emblem - Radiant Dawn (EU);Fire Emblem - Radiant Dawn (EU);Nintendo Wii;;;;;1;;;;;;;Fire Emblem Radiant Dawn;;;;;;
Fit and Fun (EU);Fit and Fun (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Flatout (EU);Flatout (EU);Nintendo Wii;;;;;;;;;;;;FlatOut;;;;;;
FlingSmash (EU);FlingSmash (EU);Nintendo Wii;;;;;;;;;;;;FlingSmash;;;;;;
Fort Boyard (EU);Fort Boyard (EU);Nintendo Wii;;;;;1;;;;;;;Fort Boyard;;;;;;
Free Running (EU);Free Running (EU);Nintendo Wii;;;;;1;;;;;;;Free Running;;;;;;
Fun Park Party (EU);Fun Park Party (EU);Nintendo Wii;;;;;2;;;;;;;Fun Park Party;;;;;;
G-Force (EU);G-Force (EU);Nintendo Wii;;;;;1;;;;;;;G-Force;;;;;;
G.I. JOE - The Rise of Cobra (EU);G.I. JOE - The Rise of Cobra (EU);Nintendo Wii;;;;;;;;;;;;G.I. Joe: The Rise of Cobra;;;;;;
GP Classic Racing (EU);GP Classic Racing (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
GT Pro Series (EU);GT Pro Series (EU);Nintendo Wii;;;;;;;;;;;;GT Pro Series;;;;;;
GTI Club Supermini Festa! (EU);GTI Club Supermini Festa! (EU);Nintendo Wii;;;;;4;;;;;;;GTI Club Supermini Festa!;;;;;;
Game Party (EU);Game Party (EU);Nintendo Wii;;;;;2;;;;;;;Game Party;;;;;;
Game Party 3 (EU);Game Party 3 (EU);Nintendo Wii;;;;;4;;;;;;;Game Party 3;;;;;;
